Level 1,Level 2,Level 3,Level 4,Level 5,Level 6,Level 7,Level 8
,,,,,1493,,
,,,,,2769,,
,,,,,2893,,
,,,,,1288,,
,,,,,237,,
,,,,,1722,,
,,,2805,,,,
,,,1324,,,,
,,,2481,,,,
,,,319,,,,
,,,1317,,,,
,,,2591,,,,
,,,,2595,,,
,,,,2596,,,
,,,,2604,,,
,,,,2608,,,
,,,,2886,,,
,,,,2594,,,
,,,,2610,,,
,,,,2611,,,
,,,,2614,,,
,,,,2626,,,
,,,,2619,,,
,,,,2856,,,
,,,,2624,,,
,,,,2615,,,
,,,,2620,,,
,,,,2621,,,
,,,2823,,,,
,,,,833,,,
,,,,82,,,
,,,100053,,,,
,,,1339,,,,
,,,,1298,,,
,,,,2367,,,
,,,,2321,,,
,,,,2148,,,
,,,,1711,,,
,,,,1349,,,
,,,,990,,,
,,,,316,,,
,,,,512,,,
,,,,2799,,,
,,,703,,,,
,,,,2472,,,
,,,,644,,,
,,,,,132,,
,,,,,807,,
,,,,,2019,,
,,,,,2775,,
,,,,,2826,,
,,,,,1580,,
,,,,,464,,
,,,,,2284,,
,,,,,1548,,
,,,,,2022,,
,,,,,943,,
,,,,,219,,
,,,,,2546,,
,,,,,1980,,
,,,,,73,,
,,,,2532,,,
,,,,910,,,
,,,,,2400,,
,,,,,1544,,
,,,,,225,,
,,,,,1906,,
,,,,,1935,,
,,,,,1552,,
,,,,,32,,
,,,,,2318,,
,,,,,423,,
,,,,,2545,,
,,,,,37,,
,,,,,2653,,
,,,,,1700,,
,,,,,396,,
,,,,,643,,
,,,,1451,,,
,,,,,2828,,
,,,,,6,,
,,,,,539,,
,,,,,81,,
,,,,,2749,,
,,,,,2793,,
,,,,,1545,,
,,,,,44,,
,,,,,1574,,
,,,,2678,,,
,,,,,2764,,
,,,,,2861,,
,,,,,2774,,
,,,,,2688,,
,,,,,2800,,
,,,,,2699,,
,,,,,432,,
,,,,,2349,,
,,,,,1636,,
,,,,,2145,,
,,,,,1463,,
,,,,,2679,,
,,,,,2448,,
,,,,,2319,,
,,,,,2179,,
,,,,,2010,,
,,,,,2280,,
,,,,,216,,
,,,,,2762,,
,,,,2529,,,
,,,,2643,,,
,,,255,,,,
,,,,227,,,
,,,,2714,,,
,,,,2794,,,
,,,,314,,,
,,,,1532,,,
,,,,924,,,
,,,,1511,,,
,,,,217,,,
,,,,213,,,
,,,,2037,,,
,,,805,,,,
,,,,2809,,,
,,,,2099,,,
,,,,2524,,,
,,,,2074,,,
,,,,2542,,,
,,,,459,,,
,,,,532,,,
,,,,961,,,
,,,,1780,,,
,,,,2737,,,
,,,,2197,,,
,,,1350,,,,
,,,649,,,,
,,,2889,,,,
,,1797,,,,,
,,,1887,,,,
,,2544,,,,,
,,,119,,,,
,,,652,,,,
,,,1361,,,,
,,,2796,,,,
,,,1238,,,,
,,2723,,,,,
,,,527,,,,
,,,,2090,,,
,,,,,2844,,
,,,,2875,,,
,,,,2498,,,
,,,,875,,,
,,,,2761,,,
,,,304,,,,
,,,1627,,,,
,,,,1695,,,
,,,408,,,,
,,,,1554,,,
,,,,2853,,,
,,,,1821,,,
,,,564,,,,
,,,2709,,,,
,,,,182,,,
,,,,153,,,
,,,,125,,,
,,,140,,,,
,,,,1429,,,
,,,,2716,,,
,,,2872,,,,
,,,,2721,,,
,,,,2720,,,
,,,1200,,,,
,,,,1538,,,
,,,,,1398,,
,,,,,,186,
,,,,,,400326,
,,,,,,2017,
,,,,,,1979,
,,,,,,1967,
,,,,,,1800,
,,,,,365,,
,,,,2778,,,
,,,,2203,,,
,,,,1890,,,
,,,,535,,,
,,,,2857,,,
,,,,,1469,,
,,,,,1788,,
,,,,,200,,
,,,,,2497,,
,,,,11,,,
,,,,,2751,,
,,,,,,2887,
,,,,,,,1634
,,,,,,,1404
,,,,,,,93
,,,,,,,1579
,,,,,,,31
,,,,,,,2304
,,,,,,,2360
,,,,,,,2508
,,,,,,,2637
,,,,,,,1827
,,,,,,,2459
,,,,,,,400428
,,,,,,2766,
,,,,,,2303,
,,,,,,1609,
,,,,,,1936,
,,,,,,2402,
,,,,,,1973,
,,,,,,1994,
,,,,,,2337,
,,,,,,1995,
,,,,,,2289,
,,,,,,55,
,,,,,,162,
,,,,,,2359,
,,,,,,1553,
,,,,,,369,
,,,,,,2710,
,,,,,,1807,
,,,,,,,2768
,,,,,,,2379
,,,,,,,2476
,,,,,,,2474
,,,,,,,58
,,,,,,,2307
,,,,,,,1875
,,,,,,,2034
,,,,,,,97
,,,,,,,482
,,,,,,,1809
,,,,,,,2406
,,,,,,,1864
,,,,,,1616,
,,,,,,1477,
,,,,,,2026,
,,,,,,2278,
,,,,,,1621,
,,,,,400043,,
,,,,,,400266,
,,,,,,400376,
,,,,,,400418,
,,,,,,400388,
,,,,,,2760,
,,,,,,400124,
,,,,,,400237,
,,,,,,2549,
,,,,,,2632,
,,,,,,400122,
,,,,,,400090,
,,,,,,2162,
,,,,,,2837,
,,,,,,400381,
,,,,,,400324,
,,,,,,2361,
,,,,,,400412,
,,,,,,2536,
,,,,,,400177,
,,,,,,2094,
,,,,,,400452,
,,,,,,2735,
